time,VMDR,VTZA,VTPK,VZMX,VHM0
2022-01-27T10:05:01Z,159.4,2.85,5.84,0.48,0.31
2022-01-27T12:05:02Z,158.19,3.09,5.5,0.4,0.28
2022-01-27T13:05:01Z,159.36,3.66,4.85,0.39,0.27
2022-01-27T14:05:01Z,154.55,3.33,5.03,0.37,0.26
2022-01-27T15:05:01Z,160.57,3.36,5.02,0.29,0.23
2022-01-27T16:05:02Z,153.24,2.72,5.34,0.38,0.26
2022-01-27T17:05:01Z,163.08,2.84,5.09,0.39,0.26
2022-01-27T18:05:01Z,148.97,3.13,5.3,0.4,0.27
2022-01-27T19:05:01Z,151.52,3.23,5.37,0.34,0.25
2022-01-27T20:05:01Z,139.98,3.01,5.11,0.33,0.25
2022-01-27T21:05:01Z,133.91,3.13,5,0.42,0.28
2022-01-27T22:05:01Z,114.86,2.56,5.25,0.35,0.26
2022-01-27T23:05:01Z,134.05,2.86,5.04,0.4,0.26
2022-01-28T00:05:01Z,124.28,2.64,5.22,0.36,0.24
2022-01-28T01:05:01Z,142.27,2.65,5.05,0.32,0.23
2022-01-28T02:05:01Z,136.18,2.85,5.05,0.29,0.22
2022-01-28T03:05:01Z,145.26,3.51,4.92,0.33,0.23
2022-01-28T04:05:01Z,118.76,3,5.16,0.37,0.23
2022-01-28T05:05:01Z,128.71,2.88,5.47,0.3,0.2
2022-01-28T06:05:01Z,121.35,2.97,4.56,0.29,0.2
2022-01-28T07:05:01Z,135.21,2.26,5.19,0.28,0.21
2022-01-28T08:05:01Z,144.92,2.31,4.7,0.33,0.21
2022-01-28T09:05:01Z,133.37,2.23,5.65,0.26,0.2
2022-01-28T10:05:01Z,135.77,2.3,4.33,0.3,0.19
2022-01-28T11:05:01Z,164.87,2.47,5.24,0.25,0.19
2022-01-28T12:05:01Z,175.47,2.96,3.5,0.27,0.2
2022-01-28T13:05:01Z,158.35,2.25,3.64,0.41,0.24
2022-01-28T14:05:01Z,131.06,2.33,4.61,0.38,0.25
2022-01-28T15:05:01Z,176.85,2.33,3.65,0.49,0.32
2022-01-28T16:05:01Z,171.22,2.55,3.32,0.68,0.39
2022-01-28T17:05:01Z,191.66,2.55,3.62,0.54,0.36
2022-01-28T18:05:01Z,194.9,2.68,3.54,0.59,0.36
2022-01-28T19:05:01Z,168.87,2.33,3.99,0.44,0.33
2022-01-28T20:05:01Z,150.92,2.22,2.01,0.52,0.34
2022-01-28T21:05:01Z,126.9,2.31,3.58,0.44,0.3
2022-01-28T22:05:01Z,121.57,2.39,5.75,0.53,0.3
2022-01-28T23:05:01Z,109.5,2.47,5.34,0.42,0.28
2022-01-29T00:05:01Z,81.29,2.65,5.75,0.43,0.27
2022-01-29T01:05:01Z,107.4,2.76,6.14,0.4,0.27
2022-01-29T02:05:01Z,104.59,2.78,5.59,0.43,0.26
2022-01-29T03:05:01Z,106.14,2.91,6.22,0.37,0.25
2022-01-29T04:05:01Z,102.14,2.25,6.52,0.43,0.32
2022-01-29T05:05:01Z,102.14,2.52,5.24,0.39,0.28
2022-01-29T06:05:01Z,106.26,2.35,6.39,0.36,0.27
2022-01-29T07:05:01Z,108.07,3.25,6.84,0.36,0.25
2022-01-29T08:05:01Z,109.84,2.69,6.16,0.44,0.28
2022-01-29T09:05:01Z,101.63,2.81,6.14,0.45,0.32
2022-01-29T10:05:01Z,94.23,2.71,5,0.52,0.32
2022-01-29T11:05:01Z,97.38,3.08,6.17,0.43,0.31
2022-01-29T12:05:01Z,102.04,3.24,5.48,0.53,0.35
2022-01-29T13:05:01Z,103.47,3.36,5.33,0.45,0.32
2022-01-29T14:05:01Z,113,3.87,5.16,0.58,0.35
2022-01-29T15:05:01Z,105.79,4.2,6.55,0.58,0.4
2022-01-29T16:05:01Z,108.52,4.38,7.18,0.53,0.38
2022-01-29T17:05:01Z,100.9,4.48,6.37,0.57,0.45
2022-01-29T18:05:01Z,108.19,3.93,7.5,0.66,0.4
2022-01-29T19:05:01Z,107.5,4.69,7.18,0.69,0.41
2022-01-29T20:05:01Z,106.76,4.22,4.68,0.5,0.38
2022-01-29T21:05:01Z,112.33,3.57,6.81,0.46,0.36
2022-01-29T22:05:01Z,110.92,3.46,6.55,0.54,0.35
2022-01-29T23:05:01Z,106.87,3.21,5.72,0.62,0.36
2022-01-30T00:05:01Z,115.83,3.55,5.25,0.51,0.37
2022-01-30T01:05:01Z,112.8,3.53,5.04,0.57,0.37
2022-01-30T02:05:01Z,114.1,3.1,4.94,0.65,0.39
2022-01-30T03:05:01Z,117.54,2.97,6.23,0.59,0.37
2022-01-30T04:05:01Z,130.23,3.13,6.3,0.49,0.36
2022-01-30T05:05:01Z,119.37,2.78,3.99,0.51,0.38
2022-01-30T06:05:01Z,122.93,3.15,6.66,0.44,0.32
2022-01-30T07:05:01Z,130.65,2.86,5.78,0.46,0.3
2022-01-30T08:05:01Z,131.78,2.39,4.16,0.45,0.31
2022-01-31T09:05:01Z,166.65,2.46,3.68,0.52,0.39
2022-01-31T10:05:02Z,159.85,2.76,3.74,0.52,0.39
2022-01-31T11:05:01Z,174.24,3.16,4.95,0.59,0.41
2022-01-31T12:05:01Z,184.38,3.43,4.5,0.57,0.38
2022-01-31T13:05:01Z,181.24,3.46,4.64,0.57,0.41
2022-01-31T14:05:01Z,174.45,3.17,4.79,0.66,0.47
2022-01-31T15:05:01Z,168.82,3.16,4.7,0.65,0.46
2022-01-31T16:05:01Z,162.45,2.99,5,0.78,0.49
2022-02-01T12:05:01Z,123.16,5.05,9.07,1.4,0.98
2022-02-01T13:05:01Z,131.22,4.52,9.11,1.28,0.99
